NAME,FAMILY,GROUPS
CAMK2D (CaMK2d),CAMK2,CAMK
RPS6KA5-b (MSK1-b),RSKb,CAMK
RPS6KB1 (p70S6K),RSK,AGC
MAPKAPK2,MAPKAPK,CAMK
CSF1R (FMS),PDGFR,TK
TGFBR2 (TGFbR2),STKR,TKL
ACVR2A (ACTR2),STKR,TKL
PKN1,PKN,AGC
PAK6,STE20,STE
STK4 (MST1),STE20,STE
IRAK3,IRAK,TKL
PIM2,PIM,CAMK
CDK13 (CHED),CDK,CMGC
EPHB3 (EphB3),Eph,TK
CAMK2G (CaMK2g),CAMK2,CAMK
CHUK (IKKa),IKK,Other
MAPK10 (JNK3),MAPK,CMGC
MAP2K6,STE7,STE
RPS6KA1 (RSK3),RSK,AGC
MKNK2 (MNK2),MAPKAPK,CAMK
CAMK1 (CaMK1a),CAMK1,CAMK
ULK1,ULK,Other
PLK4,PLK,Other
TTN,MLCK,CAMK
PEAK1 (SgK269),NKF3,Other
MAP2K4,STE7,STE
STK26 (MST4),STE20,STE
IKBKB (IKKb),IKK,Other
VRK3,VRK,CK1
CAMK1D (CaMK1d),CAMK1,CAMK
ERBB4 (ErbB4),EGFR,TK
PHKG2 (PHKg2),PHK,CAMK
RET,Ret,TK
CDK6,CDK,CMGC
ATM,PIKK,Atypical
RIOK1,RIO,Atypical
PKMYT1 (MYT1),WEE,Other
NTRK3 (TRKC),Trk,TK
ACVR2B (ACTR2B),STKR,TKL
STK40 (SgK495),SgK495,CAMK
AAK1,NAK,Other
COQ8A (ADCK3),ABC1,Atypical
CDK9,CDK,CMGC
SNRK,CAMKL,CAMK
TYK2,JakA,TK
WEE1 (Wee1),WEE,Other
FES,Fer,TK
ULK3,ULK,Other
MAPK12 (p38g),MAPK,CMGC
AURKC (AurC),Aur,Other
KSR1,RAF,TKL
RNASEL (RNAseL),Other-Unique,Other
DMPK (DMPK1),DMPK,AGC
ZAP70,Syk,TK
ULK4,ULK,Other
PBK,TOPK,Other
MASTL,MAST,AGC
MAP4K3 (KHS2),STE20,STE
CLK4,CLK,CMGC
GUCY2C (HSER),RGC,RGC
PKN2,PKN,AGC
ILK,MLK,TKL
RPS6KA2-b (RSK1-b),RSKb,CAMK
STK32A (YANK1),YANK,AGC
MAP2K2,STE7,STE
HIPK3,DYRK,CMGC
PTK6 (BRK),Src,TK
SGK1,SGK,AGC
CDC42BPB (MRCKb),DMPK,AGC
HIPK2,DYRK,CMGC
MAP3K14 (NIK),STE-Unique,STE
CSNK1E (CK1e),CK1,CK1
DYRK1B,DYRK,CMGC
DYRK3,DYRK,CMGC
PTK7 (CCK4),CCK4,TK
CSNK1G2 (CK1g2),CK1,CK1
MAP3K20 (ZAK),MLK,TKL
IGF1R,InsR,TK
PASK,CAMKL,CAMK
EPHA5 (EphA5),Eph,TK
CAMKK1 (CaMKK1),CAMKK,Other
CDK12 (CRK7),CDK,CMGC
MST1R (RON),Met,TK
PLK3,PLK,Other
MARK4,CAMKL,CAMK
RPS6KA6 (RSK4),RSK,AGC
MAP3K21 (MLK4),MLK,TKL
LRRK1,LRRK,TKL
NEK1,NEK,Other
CAMK1G (CaMK1g),CAMK1,CAMK
PHKG1 (PHKg1),PHK,CAMK
ATR,PIKK,Atypical
EIF2AK4 (GCN2),PEK,Other
GSK3A,GSK,CMGC
MAP3K8 (COT),STE-Unique,STE
CDKL3,CDKL,CMGC
STK17A (DRAK1),DAPK,CAMK
EIF2AK3 (PEK),PEK,Other
PAK1,STE20,STE
STK25 (YSK1),STE20,STE
MELK,CAMKL,CAMK
AXL,Axl,TK
BUB1B (BUBR1),BUB,Other
IRAK1,IRAK,TKL
DDR2,DDR,TK
RIOK2,RIO,Atypical
CSK,Csk,TK
ABL2,Abl,TK
INSRR (IRR),InsR,TK
PRKCA (PKCa),PKC,AGC
EPHA7 (EphA7),Eph,TK
RIPK1,RIPK,TKL
BMPR2,STKR,TKL
KSR2,RAF,TKL
ROR1,Ror,TK
TTBK1,TTBK,CK1
MAPK13 (p38d),MAPK,CMGC
CDKL2,CDKL,CMGC
TLK2,TLK,Other
BMP2K (BIKE),NAK,Other
CSNK1G1 (CK1g1),CK1,CK1
AURKB (AurB),Aur,Other
EPHB2 (EphB2),Eph,TK
WEE2 (Wee1B),WEE,Other
FYN,Src,TK
PI4KA,PIK,Atypical
RIPK3,RIPK,TKL
RYK,Ryk,TK
GRK4 (GPRK4),GRK,AGC
CAMK4 (CaMK4),CAMK1,CAMK
PRAG1 (SgK223),NKF3,Other
